term_code,subject_code,course_code,class_name,course_title,academic_level,section_id,section_ref,section_code,instruction_type_name,instructors_text,seats_available,waitlist_available,meeting_kind,day_code,day_name,specific_date,start_time_display,end_time_display,building_code,room_code,is_remote,is_tba
FA26,USP,150,USP 150,Real Estate/Law & Regulation,UD,E 00000829,FA26:E 00000829,001-000-LE,lecture,Michael Holmes,75,,final,M,Monday,2026-12-07,3:00pm,5:59pm,MOS,MOS 0204,0,0
FA26,USP,151,USP 151,Real Estate Plan & Development,UD,E 00000830,FA26:E 00000830,001-000-LE,lecture,,46,,class,M,Monday,,6:30pm,7:50pm,RWAC,RWAC 0115,0,0
FA26,USP,151,USP 151,Real Estate Plan & Development,UD,E 00000830,FA26:E 00000830,001-000-LE,lecture,,46,,class,W,Wednesday,,6:30pm,7:50pm,RWAC,RWAC 0115,0,0
FA26,USP,151,USP 151,Real Estate Plan & Development,UD,E 00000830,FA26:E 00000830,001-000-LE,lecture,,46,,final,M,Monday,2026-12-07,7:00pm,9:59pm,RWAC,RWAC 0115,0,0
FA26,USP,152B,USP 152B,Adv. RED Finance & Invest,UD,E 00003441,FA26:E 00003441,001-000-LE,lecture,Nathan Moeder,25,,class,W,Wednesday,,2:00pm,4:50pm,RWAC,RWAC 0424,0,0
FA26,USP,152B,USP 152B,Adv. RED Finance & Invest,UD,E 00003441,FA26:E 00003441,001-000-LE,lecture,Nathan Moeder,25,,final,W,Wednesday,2026-12-09,3:00pm,5:59pm,RWAC,RWAC 0424,0,0
FA26,USP,154,USP 154,Global Justice/Theory & Action,UD,E 00002457,FA26:E 00002457,001-000-LE,lecture,Valerie Soon,5,,class,R,Thursday,,8:00am,9:20am,MOS,MOS 0204,0,0
FA26,USP,154,USP 154,Global Justice/Theory & Action,UD,E 00002457,FA26:E 00002457,001-000-LE,lecture,Valerie Soon,5,,class,T,Tuesday,,8:00am,9:20am,MOS,MOS 0204,0,0
FA26,USP,154,USP 154,Global Justice/Theory & Action,UD,E 00002457,FA26:E 00002457,001-000-LE,lecture,Valerie Soon,5,,final,T,Tuesday,2026-12-08,8:00am,10:59am,MOS,MOS 0204,0,0
FA26,USP,161,USP 161,Environ Design & Crime Prevent,UD,E 00000831,FA26:E 00000831,001-000-LE,lecture,Julie Wartell,35,,class,M,Monday,,5:00pm,6:20pm,COA,COA 122,0,0
FA26,USP,161,USP 161,Environ Design & Crime Prevent,UD,E 00000831,FA26:E 00000831,001-000-LE,lecture,Julie Wartell,35,,class,W,Wednesday,,5:00pm,6:20pm,COA,COA 122,0,0
FA26,USP,161,USP 161,Environ Design & Crime Prevent,UD,E 00000831,FA26:E 00000831,001-000-LE,lecture,Julie Wartell,35,,final,R,Thursday,2026-12-10,7:00pm,9:59pm,COA,COA 122,0,0
FA26,USP,165C,USP 165C,Adv.SpecTopics/Transportation,UD,E 00000832,FA26:E 00000832,001-000-LE,lecture,Behram Wali,25,,class,R,Thursday,,5:00pm,6:20pm,HSS,HSS 1315,0,0
FA26,USP,165C,USP 165C,Adv.SpecTopics/Transportation,UD,E 00000832,FA26:E 00000832,001-000-LE,lecture,Behram Wali,25,,class,T,Tuesday,,5:00pm,6:20pm,HSS,HSS 1315,0,0
FA26,USP,165C,USP 165C,Adv.SpecTopics/Transportation,UD,E 00000832,FA26:E 00000832,001-000-LE,lecture,Behram Wali,25,,final,F,Friday,2026-12-11,7:00pm,9:59pm,HSS,HSS 1315,0,0
