term_code,subject_code,course_code,class_name,course_title,academic_level,section_id,section_ref,section_code,instruction_type_name,instructors_text,seats_available,waitlist_available,meeting_kind,day_code,day_name,specific_date,start_time_display,end_time_display,building_code,room_code,is_remote,is_tba
FA26,CSE,152A,CSE 152A,Intro to Comp Vision I,UD,E 00004002,FA26:E 00004002,001-001-DI,discussion,Benjamin Ochoa,192,,class,R,Thursday,,6:00pm,6:50pm,WLH,WLH 2005,0,0
FA26,CSE,158,CSE 158,Recommender Sys&Web Mining,UD,E 00000990,FA26:E 00000990,001-000-LE,lecture,Julian Mcauley,73,,class,R,Thursday,,2:00pm,3:20pm,CENTR,CENTR 216,0,0
FA26,CSE,158,CSE 158,Recommender Sys&Web Mining,UD,E 00000990,FA26:E 00000990,001-000-LE,lecture,Julian Mcauley,73,,class,T,Tuesday,,2:00pm,3:20pm,CENTR,CENTR 216,0,0
FA26,CSE,158,CSE 158,Recommender Sys&Web Mining,UD,EL00000843,FA26:EL00000843,001-001-LA,lab,Julian Mcauley,73,,class,,,,tba,tba,tba,tba,0,1
FA26,CSE,158R,CSE 158R,Recommender Sys&Web Mining,UD,E 00004338,FA26:E 00004338,001-000-LE,lecture,Julian Mcauley,673,,class,R,Thursday,,2:00pm,3:20pm,,,0,0
FA26,CSE,158R,CSE 158R,Recommender Sys&Web Mining,UD,E 00004338,FA26:E 00004338,001-000-LE,lecture,Julian Mcauley,673,,class,T,Tuesday,,2:00pm,3:20pm,,,0,0
FA26,CSE,158R,CSE 158R,Recommender Sys&Web Mining,UD,EL00002515,FA26:EL00002515,001-001-DI,discussion,Julian Mcauley,673,,class,,,,tba,tba,tba,tba,0,1
FA26,CSE,167,CSE 167,Computer Graphics,UD,E 00000991,FA26:E 00000991,001-000-LE,lecture,Tzu Mao Li,192,,class,F,Friday,,2:00pm,2:50pm,PCYNH,PCYNH 109,0,0
FA26,CSE,167,CSE 167,Computer Graphics,UD,E 00000991,FA26:E 00000991,001-000-LE,lecture,Tzu Mao Li,192,,class,M,Monday,,2:00pm,2:50pm,PCYNH,PCYNH 109,0,0
FA26,CSE,167,CSE 167,Computer Graphics,UD,E 00000991,FA26:E 00000991,001-000-LE,lecture,Tzu Mao Li,192,,class,W,Wednesday,,2:00pm,2:50pm,PCYNH,PCYNH 109,0,0
FA26,CSE,167,CSE 167,Computer Graphics,UD,E 00000991,FA26:E 00000991,001-000-LE,lecture,Tzu Mao Li,192,,final,W,Wednesday,2026-12-09,3:00pm,5:59pm,PCYNH,PCYNH 109,0,0
FA26,CSE,167,CSE 167,Computer Graphics,UD,E 00004003,FA26:E 00004003,001-001-DI,discussion,Tzu Mao Li,192,,class,F,Friday,,3:00pm,3:50pm,PCYNH,PCYNH 106,0,0
FA26,CSE,170,CSE 170,Human-Comp Interaction Design,UD,E 00000992,FA26:E 00000992,001-000-LE,lecture,Kristen Vaccaro,120,,class,R,Thursday,,3:30pm,4:50pm,CENTR,CENTR 119,0,0
FA26,CSE,170,CSE 170,Human-Comp Interaction Design,UD,E 00000992,FA26:E 00000992,001-000-LE,lecture,Kristen Vaccaro,120,,class,T,Tuesday,,3:30pm,4:50pm,CENTR,CENTR 119,0,0
FA26,CSE,170,CSE 170,Human-Comp Interaction Design,UD,E 00000992,FA26:E 00000992,001-000-LE,lecture,Kristen Vaccaro,120,,final,M,Monday,2026-12-07,3:00pm,5:59pm,CENTR,CENTR 119,0,0
