term_code,subject_code,course_code,class_name,course_title,academic_level,section_id,section_ref,section_code,instruction_type_name,instructors_text,seats_available,waitlist_available,meeting_kind,day_code,day_name,specific_date,start_time_display,end_time_display,building_code,room_code,is_remote,is_tba
FA26,MATH,020C,MATH 020C,Calculus&Analyt Geom/Sci&Engnr,LD,E 00001628,FA26:E 00001628,002-000-LE,lecture,Frances Hammock,120,,class,F,Friday,,11:00am,11:50am,MOS,MOS 0114,0,0
FA26,MATH,020C,MATH 020C,Calculus&Analyt Geom/Sci&Engnr,LD,E 00001628,FA26:E 00001628,002-000-LE,lecture,Frances Hammock,120,,class,M,Monday,,11:00am,11:50am,MOS,MOS 0114,0,0
FA26,MATH,020C,MATH 020C,Calculus&Analyt Geom/Sci&Engnr,LD,E 00001628,FA26:E 00001628,002-000-LE,lecture,Frances Hammock,120,,class,W,Wednesday,,11:00am,11:50am,MOS,MOS 0114,0,0
FA26,MATH,020C,MATH 020C,Calculus&Analyt Geom/Sci&Engnr,LD,E 00001628,FA26:E 00001628,002-000-LE,lecture,Frances Hammock,120,,midterm,W,Wednesday,2026-10-21,8:00pm,8:50pm,CENTR,CENTR 101,0,0
FA26,MATH,020C,MATH 020C,Calculus&Analyt Geom/Sci&Engnr,LD,E 00001628,FA26:E 00001628,002-000-LE,lecture,Frances Hammock,120,,midterm,W,Wednesday,2026-11-18,8:00pm,8:50pm,CENTR,CENTR 101,0,0
FA26,MATH,020C,MATH 020C,Calculus&Analyt Geom/Sci&Engnr,LD,E 00001628,FA26:E 00001628,002-000-LE,lecture,Frances Hammock,120,,final,S,Saturday,2026-12-05,3:00pm,5:59pm,WLH,WLH 2001,0,0
FA26,MATH,020C,MATH 020C,Calculus&Analyt Geom/Sci&Engnr,LD,E 00001641,FA26:E 00001641,002-001-DI,discussion,Frances Hammock,15,,class,R,Thursday,,5:00pm,5:50pm,CENTR,CENTR 217B,0,0
FA26,MATH,020C,MATH 020C,Calculus&Analyt Geom/Sci&Engnr,LD,E 00001642,FA26:E 00001642,002-002-DI,discussion,Frances Hammock,15,,class,R,Thursday,,6:00pm,6:50pm,CENTR,CENTR 217B,0,0
FA26,MATH,020C,MATH 020C,Calculus&Analyt Geom/Sci&Engnr,LD,E 00001643,FA26:E 00001643,002-003-DI,discussion,Frances Hammock,15,,class,R,Thursday,,1:00pm,1:50pm,HSS,HSS 4025,0,0
FA26,MATH,020C,MATH 020C,Calculus&Analyt Geom/Sci&Engnr,LD,E 00001644,FA26:E 00001644,002-004-DI,discussion,Frances Hammock,15,,class,R,Thursday,,2:00pm,2:50pm,HSS,HSS 4025,0,0
FA26,MATH,020C,MATH 020C,Calculus&Analyt Geom/Sci&Engnr,LD,E 00001645,FA26:E 00001645,002-005-DI,discussion,Frances Hammock,15,,class,R,Thursday,,3:00pm,3:50pm,HSS,HSS 4025,0,0
FA26,MATH,020C,MATH 020C,Calculus&Analyt Geom/Sci&Engnr,LD,E 00001646,FA26:E 00001646,002-006-DI,discussion,Frances Hammock,15,,class,R,Thursday,,4:00pm,4:50pm,HSS,HSS 4025,0,0
FA26,MATH,020C,MATH 020C,Calculus&Analyt Geom/Sci&Engnr,LD,E 00001647,FA26:E 00001647,002-007-DI,discussion,Frances Hammock,15,,class,R,Thursday,,2:00pm,2:50pm,APM,APM 2402,0,0
FA26,MATH,020C,MATH 020C,Calculus&Analyt Geom/Sci&Engnr,LD,E 00001648,FA26:E 00001648,002-008-DI,discussion,Frances Hammock,15,,class,R,Thursday,,3:00pm,3:50pm,APM,APM 2402,0,0
FA26,MATH,020C,MATH 020C,Calculus&Analyt Geom/Sci&Engnr,LD,E 00001629,FA26:E 00001629,003-000-LE,lecture,Michael Holst,90,,class,F,Friday,,4:00pm,4:50pm,CENTR,CENTR 119,0,0
FA26,MATH,020C,MATH 020C,Calculus&Analyt Geom/Sci&Engnr,LD,E 00001629,FA26:E 00001629,003-000-LE,lecture,Michael Holst,90,,class,M,Monday,,4:00pm,4:50pm,CENTR,CENTR 119,0,0
FA26,MATH,020C,MATH 020C,Calculus&Analyt Geom/Sci&Engnr,LD,E 00001629,FA26:E 00001629,003-000-LE,lecture,Michael Holst,90,,class,W,Wednesday,,4:00pm,4:50pm,CENTR,CENTR 119,0,0
FA26,MATH,020C,MATH 020C,Calculus&Analyt Geom/Sci&Engnr,LD,E 00001629,FA26:E 00001629,003-000-LE,lecture,Michael Holst,90,,midterm,W,Wednesday,2026-10-21,8:00pm,8:50pm,CENTR,CENTR 119,0,0
FA26,MATH,020C,MATH 020C,Calculus&Analyt Geom/Sci&Engnr,LD,E 00001629,FA26:E 00001629,003-000-LE,lecture,Michael Holst,90,,midterm,W,Wednesday,2026-11-18,8:00pm,8:50pm,CENTR,CENTR 119,0,0
FA26,MATH,020C,MATH 020C,Calculus&Analyt Geom/Sci&Engnr,LD,E 00001629,FA26:E 00001629,003-000-LE,lecture,Michael Holst,90,,final,S,Saturday,2026-12-05,3:00pm,5:59pm,CENTR,CENTR 119,0,0
FA26,MATH,020C,MATH 020C,Calculus&Analyt Geom/Sci&Engnr,LD,E 00001651,FA26:E 00001651,003-001-DI,discussion,Michael Holst,15,,class,R,Thursday,,5:00pm,5:50pm,CENTR,CENTR 217A,0,0
FA26,MATH,020C,MATH 020C,Calculus&Analyt Geom/Sci&Engnr,LD,E 00001652,FA26:E 00001652,003-002-DI,discussion,Michael Holst,15,,class,R,Thursday,,6:00pm,6:50pm,CENTR,CENTR 217A,0,0
FA26,MATH,020C,MATH 020C,Calculus&Analyt Geom/Sci&Engnr,LD,E 00001653,FA26:E 00001653,003-003-DI,discussion,Michael Holst,15,,class,R,Thursday,,7:00pm,7:50pm,CENTR,CENTR 203,0,0
FA26,MATH,020C,MATH 020C,Calculus&Analyt Geom/Sci&Engnr,LD,E 00001654,FA26:E 00001654,003-004-DI,discussion,Michael Holst,15,,class,R,Thursday,,8:00pm,8:50pm,CENTR,CENTR 203,0,0
FA26,MATH,020C,MATH 020C,Calculus&Analyt Geom/Sci&Engnr,LD,E 00001655,FA26:E 00001655,003-005-DI,discussion,Michael Holst,15,,class,R,Thursday,,8:00am,8:50am,HSS,HSS 1128A,0,0
FA26,MATH,020C,MATH 020C,Calculus&Analyt Geom/Sci&Engnr,LD,E 00001656,FA26:E 00001656,003-006-DI,discussion,Michael Holst,15,,class,R,Thursday,,9:00am,9:50am,HSS,HSS 1128A,0,0
FA26,MATH,020C,MATH 020C,Calculus&Analyt Geom/Sci&Engnr,LD,E 00001630,FA26:E 00001630,004-000-LE,lecture,Michael Holst,120,,class,F,Friday,,3:00pm,3:50pm,PETER,PETER 108,0,0
